filename,length,Overlap_Score,Overlap_Score (Merged)
09__girl.wav.txt,153.310, 0.755, 0.765
09__hold_me_tight.wav.txt,152.460, 0.603, 0.656
09__ill_cry_instead.wav.txt,107.670, 0.815, 0.815
09__its_only_love.wav.txt,118.640, 0.794, 0.794
09__mr_morgan.wav.txt,183.130, 0.778, 0.778
09__one_after_909.wav.txt,175.520, 0.524, 0.634
09__p._s._i_love_you.wav.txt,121.760, 0.875, 0.875
09__penny_lane.wav.txt,183.350, 0.741, 0.756
09__when_im_sixtyfour.wav.txt,157.620, 0.834, 0.849
09__words_of_love.wav.txt,133.020, 0.852, 0.852
09__you_never_give_me_your_money.wav.txt,242.320, 0.657, 0.738
09_crazy_little_thing_called_love.wav.txt,163.830, 0.537, 0.628
09_who_wants_to_live_forever.wav.txt,297.270, 0.733, 0.755
10__baby_its_you.wav.txt,152.210, 0.833, 0.833
10__baby_youre_a_rich_man.wav.txt,183.660, 0.556, 0.556
10__for_no_one.wav.txt,121.190, 0.777, 0.777
10__honey_dont.wav.txt,176.120, 0.794, 0.794
10__im_looking_through_you.wav.txt,147.570, 0.561, 0.561
10__liebesleid.wav.txt,266.230, 0.693, 0.721
10__sun_king.wav.txt,146.300, 0.545, 0.545
10__the_long_and_winding_road.wav.txt,217.860, 0.720, 0.725
10__things_we_said_today.wav.txt,158.710, 0.664, 0.685
10__you_like_me_too_much.wav.txt,158.660, 0.734, 0.740
10__you_really_got_a_hold_on_me.wav.txt,182.760, 0.812, 0.814
10_somebody_to_love.wav.txt,297.670, 0.697, 0.697
11__all_you_need_is_love.wav.txt,228.220, 0.566, 0.578
11__do_you_want_to_know_a_secret.wav.txt,115.260, 0.329, 0.363
11__doctor_robert.wav.txt,134.740, 0.607, 0.607
11__every_little_thing.wav.txt,119.820, 0.817, 0.821
11__for_you_blue.wav.txt,152.660, 0.782, 0.794
11__good_morning_good_morning.wav.txt,161.220, 0.563, 0.611
11__i_wanna_be_your_man.wav.txt,118.750, 0.719, 0.744
11__ich_kann_heute_nicht.wav.txt,138.170, 0.677, 0.683
11__in_my_life.wav.txt,147.860, 0.730, 0.803
11__mean_mr_mustard.wav.txt,66.212, 0.754, 0.797
11__tell_me_what_you_see.wav.txt,159.560, 0.701, 0.701
11__when_i_get_home.wav.txt,138.170, 0.568, 0.586
12__a_taste_of_honey.wav.txt,120.350, 0.565, 0.641
12__devil_in_her_heart.wav.txt,147.490, 0.767, 0.794
12__get_back.wav.txt,186.920, 0.665, 0.665
12__i_dont_want_to_spoil_the_party.wav.txt,151.630, 0.754, 0.783
12__i_want_to_tell_you.wav.txt,149.700, 0.893, 0.893
12__ive_just_seen_a_face.wav.txt,127.010, 0.791, 0.791
12__jakob_und_marie.wav.txt,186.110, 0.615, 0.817
12__polythene_pam.wav.txt,72.723, 0.638, 0.659
12__sgt._peppers_lonely_hearts_club_band_reprise.wav.txt,78.869, 0.473, 0.651
12__wait.wav.txt,136.600, 0.501, 0.596
12__you_cant_do_that.wav.txt,157.430, 0.663, 0.706
12_good_oldfashioned_lover_boy.wav.txt,175.830, 0.686, 0.727
13__a_day_in_the_life.wav.txt,333.700, 0.565, 0.597
13__got_to_get_you_into_my_life.wav.txt,150.540, 0.668, 0.698
13__if_i_needed_someone.wav.txt,143.490, 0.701, 0.701
13__ill_be_back.wav.txt,140.310, 0.742, 0.747
13__not_a_second_time.wav.txt,128.190, 0.612, 0.627
13__paparazzi.wav.txt,234.470, 0.762, 0.784
13__she_came_in_through_the_bathroom_window.wav.txt,117.710, 0.697, 0.700
13__theres_a_place.wav.txt,107.630, 0.750, 0.780
13__what_youre_doing.wav.txt,150.300, 0.698, 0.733
13__yesterday.wav.txt,127.210, 0.651, 0.670
13_play_the_game.wav.txt,213.310, 0.669, 0.708
14__dizzy_miss_lizzie.wav.txt,174.050, 0.862, 0.863
14__everybodys_trying_to_be_my_baby.wav.txt,142.630, 0.843, 0.862
14__golden_slumbers.wav.txt,91.566, 0.820, 0.846
14__money.wav.txt,167.340, 0.639, 0.698
14__run_for_your_life.wav.txt,138.550, 0.775, 0.775
14__santa_donna_lucia_mobile.wav.txt,100.650, 0.796, 0.806
14__tomorrow_never_knows.wav.txt,177.120, 0.783, 0.783
14__twist_and_shout.wav.txt,152.000, 0.746, 0.746
14_hammer_to_fall.wav.txt,220.510, 0.378, 0.453
15__carry_that_weight.wav.txt,96.868, 0.881, 0.881
15__es_wird_alles_wieder_gut_herr_professor.wav.txt,151.910, 0.632, 0.702
15_friends_will_be_friends.wav.txt,248.890, 0.840, 0.854
15_seven_seas_of_rhye.wav.txt,170.470, 0.244, 0.458
16__the_end.wav.txt,139.780, 0.429, 0.453
16__zu_leise_fuXXr_mich.wav.txt,241.040, 0.432, 0.463
16_we_will_rock_you.wav.txt,122.770, 0.175, 0.175
17__duell.wav.txt,237.190, 0.693, 0.693
17__her_majesty.wav.txt,23.125, 0.597, 0.631
17_we_are_the_champions.wav.txt,181.400, 0.571, 0.678
