filename,length,Overlap_Score,Overlap_Score (Merged)
01__a_hard_days_night.wav.txt,152.300, 0.708, 0.739
01__come_together.wav.txt,260.680, 0.624, 0.790
01__drive_my_car.wav.txt,149.790, 0.571, 0.676
01__help.wav.txt,140.910, 0.686, 0.777
01__i_saw_her_standing_there.wav.txt,171.690, 0.783, 0.814
01__it_wont_be_long.wav.txt,133.760, 0.632, 0.738
01__magical_mystery_tour.wav.txt,171.930, 0.696, 0.748
01__no_reply.wav.txt,133.360, 0.794, 0.794
01__sgt._peppers_lonely_hearts_club_band.wav.txt,122.390, 0.647, 0.676
01__spiel_mir_eine_alte_melodie.wav.txt,164.920, 0.618, 0.706
01__taxman.wav.txt,158.750, 0.526, 0.665
01__two_of_us.wav.txt,216.600, 0.702, 0.714
01_a_kind_of_magic.wav.txt,262.510, 0.789, 0.837
01_bohemian_rhapsody.wav.txt,358.290, 0.609, 0.643
02__all_ive_got_to_do.wav.txt,124.460, 0.691, 0.746
02__dig_a_pony.wav.txt,234.810, 0.610, 0.693
02__eleanor_rigby.wav.txt,127.580, 0.771, 0.791
02__i_should_have_known_better.wav.txt,160.210, 0.700, 0.718
02__im_a_loser.wav.txt,149.790, 0.593, 0.632
02__misery.wav.txt,106.160, 0.758, 0.803
02__norwegian_wood_this_bird_has_flown.wav.txt,125.280, 0.833, 0.852
02__rawhide.wav.txt,215.800, 0.488, 0.690
02__something.wav.txt,182.900, 0.683, 0.698
02__the_fool_on_the_hill.wav.txt,180.180, 0.579, 0.592
02__the_night_before.wav.txt,156.430, 0.720, 0.753
02__with_a_little_help_from_my_friends.wav.txt,163.900, 0.691, 0.752
03__across_the_universe.wav.txt,228.590, 0.753, 0.759
03__all_my_loving.wav.txt,129.320, 0.699, 0.724
03__anna_go_to_him.wav.txt,174.530, 0.617, 0.671
03__babys_in_black.wav.txt,122.900, 0.770, 0.789
03__flying.wav.txt,136.510, 0.513, 0.641
03__if_i_fell.wav.txt,141.850, 0.707, 0.731
03__im_only_sleeping.wav.txt,181.290, 0.634, 0.723
03__lucy_in_the_sky_with_diamonds.wav.txt,208.350, 0.561, 0.594
03__maxwells_silver_hammer.wav.txt,207.160, 0.672, 0.686
03__she.wav.txt,158.480, 0.593, 0.625
03__you_wont_see_me.wav.txt,202.180, 0.742, 0.769
03__youve_got_to_hide_your_love_away.wav.txt,131.280, 0.687, 0.706
04__blue_jay_way.wav.txt,236.680, 0.798, 0.806
04__chains.wav.txt,141.770, 0.696, 0.726
04__dont_bother_me.wav.txt,149.080, 0.576, 0.690
04__erbauliche_gedanken_eines_tobackrauchers.wav.txt,342.550, 0.395, 0.472
04__getting_better.wav.txt,167.770, 0.468, 0.492
04__i_me_mine.wav.txt,145.660, 0.507, 0.597
04__i_need_you.wav.txt,151.270, 0.691, 0.830
04__im_happy_just_to_dance_with_you.wav.txt,118.630, 0.560, 0.600
04__nowhere_man.wav.txt,163.980, 0.558, 0.638
04__oh_darling.wav.txt,206.550, 0.711, 0.761
04__rock_and_roll_music.wav.txt,149.140, 0.840, 0.858
04_fat_bottomed_girls.wav.txt,204.560, 0.665, 0.748
05__and_i_love_her.wav.txt,150.840, 0.794, 0.842
05__andersrum.wav.txt,122.280, 0.586, 0.616
05__another_girl.wav.txt,127.560, 0.475, 0.637
05__boys.wav.txt,143.490, 0.684, 0.741
05__dig_it.wav.txt,49.994, 0.653, 0.661
05__fixing_a_hole.wav.txt,156.470, 0.571, 0.708
05__here_there_and_everywhere.wav.txt,145.710, 0.612, 0.628
05__ill_follow_the_sun.wav.txt,106.540, 0.719, 0.724
05__little_child.wav.txt,107.650, 0.785, 0.831
05__octopuss_garden.wav.txt,171.100, 0.673, 0.772
05__think_for_yourself.wav.txt,139.150, 0.598, 0.779
05__your_mother_should_know.wav.txt,149.620, 0.715, 0.740
05_bicycle_race.wav.txt,183.800, 0.442, 0.557
05_i_want_to_break_free.wav.txt,258.730, 0.828, 0.866
06__ask_me_why.wav.txt,143.980, 0.580, 0.608
06__i_am_the_walrus.wav.txt,272.780, 0.662, 0.721
06__i_want_you.wav.txt,467.150, 0.533, 0.615
06__let_it_be.wav.txt,243.280, 0.725, 0.740
06__mr._moonlight.wav.txt,153.080, 0.801, 0.827
06__shes_leaving_home.wav.txt,214.950, 0.610, 0.624
06__tell_me_why.wav.txt,130.030, 0.452, 0.478
06__the_word.wav.txt,163.620, 0.586, 0.814
06__tigerfest.wav.txt,203.090, 0.609, 0.661
06__till_there_was_you.wav.txt,136.560, 0.535, 0.600
06__yellow_submarine.wav.txt,159.860, 0.651, 0.694
06__youre_going_to_lose_that_girl.wav.txt,140.060, 0.644, 0.739
06_youre_my_best_friend.wav.txt,172.170, 0.625, 0.678
07__akne.wav.txt,203.410, 0.614, 0.693
07__being_for_the_benefit_of_mr._kite.wav.txt,156.970, 0.594, 0.648
07__cant_buy_me_love.wav.txt,132.900, 0.762, 0.796
07__hello_goodbye.wav.txt,211.450, 0.697, 0.705
07__here_comes_the_sun.wav.txt,185.530, 0.736, 0.745
07__kansas_city_hey_hey_hey_hey.wav.txt,144.680, 0.657, 0.697
07__maggie_mae.wav.txt,40.601, 0.741, 0.782
