filename,length,Overlap_Score,Overlap_Score (Merged)
09__ill_cry_instead.wav.txt,107.670, 0.708, 0.743
09__its_only_love.wav.txt,118.640, 0.697, 0.710
09__mr_morgan.wav.txt,183.130, 0.713, 0.734
09__one_after_909.wav.txt,175.520, 0.317, 0.400
09__p._s._i_love_you.wav.txt,121.760, 0.832, 0.868
09__penny_lane.wav.txt,183.350, 0.644, 0.656
09__when_im_sixtyfour.wav.txt,157.620, 0.685, 0.685
09__words_of_love.wav.txt,133.020, 0.801, 0.841
09__you_never_give_me_your_money.wav.txt,242.320, 0.597, 0.626
09_crazy_little_thing_called_love.wav.txt,163.830, 0.529, 0.610
09_who_wants_to_live_forever.wav.txt,297.270, 0.693, 0.736
10__baby_its_you.wav.txt,152.210, 0.731, 0.822
10__baby_youre_a_rich_man.wav.txt,183.660, 0.530, 0.558
10__for_no_one.wav.txt,121.190, 0.456, 0.563
10__honey_dont.wav.txt,176.120, 0.633, 0.656
10__im_looking_through_you.wav.txt,147.570, 0.438, 0.585
10__liebesleid.wav.txt,266.230, 0.553, 0.632
10__sun_king.wav.txt,146.300, 0.513, 0.556
10__the_long_and_winding_road.wav.txt,217.860, 0.665, 0.669
10__things_we_said_today.wav.txt,158.710, 0.674, 0.773
10__you_like_me_too_much.wav.txt,158.660, 0.635, 0.650
10__you_really_got_a_hold_on_me.wav.txt,182.760, 0.660, 0.693
10_somebody_to_love.wav.txt,297.670, 0.606, 0.637
11__all_you_need_is_love.wav.txt,228.220, 0.551, 0.587
11__do_you_want_to_know_a_secret.wav.txt,115.260, 0.483, 0.522
11__doctor_robert.wav.txt,134.740, 0.515, 0.533
11__every_little_thing.wav.txt,119.820, 0.649, 0.691
11__for_you_blue.wav.txt,152.660, 0.661, 0.700
11__good_morning_good_morning.wav.txt,161.220, 0.479, 0.522
11__i_wanna_be_your_man.wav.txt,118.750, 0.517, 0.565
11__ich_kann_heute_nicht.wav.txt,138.170, 0.663, 0.684
11__in_my_life.wav.txt,147.860, 0.719, 0.794
11__mean_mr_mustard.wav.txt,66.212, 0.610, 0.627
11__tell_me_what_you_see.wav.txt,159.560, 0.585, 0.588
11__when_i_get_home.wav.txt,138.170, 0.381, 0.468
12__a_taste_of_honey.wav.txt,120.350, 0.610, 0.661
12__devil_in_her_heart.wav.txt,147.490, 0.703, 0.728
12__get_back.wav.txt,186.920, 0.373, 0.466
12__i_dont_want_to_spoil_the_party.wav.txt,151.630, 0.675, 0.709
12__i_want_to_tell_you.wav.txt,149.700, 0.823, 0.852
12__ive_just_seen_a_face.wav.txt,127.010, 0.720, 0.743
12__jakob_und_marie.wav.txt,186.110, 0.650, 0.834
12__polythene_pam.wav.txt,72.723, 0.537, 0.581
12__sgt._peppers_lonely_hearts_club_band_reprise.wav.txt,78.869, 0.548, 0.577
12__wait.wav.txt,136.600, 0.455, 0.550
12__you_cant_do_that.wav.txt,157.430, 0.424, 0.444
12_good_oldfashioned_lover_boy.wav.txt,175.830, 0.563, 0.610
13__a_day_in_the_life.wav.txt,333.700, 0.456, 0.531
13__got_to_get_you_into_my_life.wav.txt,150.540, 0.479, 0.522
13__if_i_needed_someone.wav.txt,143.490, 0.531, 0.567
13__ill_be_back.wav.txt,140.310, 0.749, 0.778
13__not_a_second_time.wav.txt,128.190, 0.457, 0.599
13__paparazzi.wav.txt,234.470, 0.591, 0.661
13__she_came_in_through_the_bathroom_window.wav.txt,117.710, 0.544, 0.573
13__theres_a_place.wav.txt,107.630, 0.591, 0.611
13__what_youre_doing.wav.txt,150.300, 0.703, 0.736
13__yesterday.wav.txt,127.210, 0.651, 0.700
13_play_the_game.wav.txt,213.310, 0.590, 0.628
14__dizzy_miss_lizzie.wav.txt,174.050, 0.670, 0.683
14__everybodys_trying_to_be_my_baby.wav.txt,142.630, 0.768, 0.810
14__golden_slumbers.wav.txt,91.566, 0.853, 0.853
14__money.wav.txt,167.340, 0.499, 0.631
14__run_for_your_life.wav.txt,138.550, 0.667, 0.740
14__santa_donna_lucia_mobile.wav.txt,100.650, 0.606, 0.624
14__tomorrow_never_knows.wav.txt,177.120, 0.612, 0.650
14__twist_and_shout.wav.txt,152.000, 0.556, 0.594
15__carry_that_weight.wav.txt,96.868, 0.837, 0.837
15__es_wird_alles_wieder_gut_herr_professor.wav.txt,151.910, 0.453, 0.587
15_friends_will_be_friends.wav.txt,248.890, 0.716, 0.758
16__the_end.wav.txt,139.780, 0.106, 0.147
16__zu_leise_fuXXr_mich.wav.txt,241.040, 0.315, 0.391
16_we_will_rock_you.wav.txt,122.770, 0.172, 0.172
17__duell.wav.txt,237.190, 0.463, 0.526
17__her_majesty.wav.txt,23.125, 0.375, 0.470
17_we_are_the_champions.wav.txt,181.400, 0.583, 0.673
18__zuhause.wav.txt,210.750, 0.551, 0.626
cd1__01__back_in_the_ussr.wav.txt,163.260, 0.590, 0.631
cd1__02__dear_prudence.wav.txt,236.360, 0.544, 0.544
cd1__03__glass_onion.wav.txt,138.020, 0.408, 0.419
