filename,length,Overlap_Score,Overlap_Score (Merged)
09__girl.wav.txt,153.310, 0.833, 0.840
09__hold_me_tight.wav.txt,152.460, 0.594, 0.632
09__ill_cry_instead.wav.txt,107.670, 0.853, 0.853
09__its_only_love.wav.txt,118.640, 0.839, 0.845
09__mr_morgan.wav.txt,183.130, 0.756, 0.756
09__one_after_909.wav.txt,175.520, 0.701, 0.710
09__p._s._i_love_you.wav.txt,121.760, 0.858, 0.884
09__penny_lane.wav.txt,183.350, 0.837, 0.839
09__when_im_sixtyfour.wav.txt,157.620, 0.794, 0.850
09__words_of_love.wav.txt,133.020, 0.819, 0.819
09__you_never_give_me_your_money.wav.txt,242.320, 0.678, 0.773
09_crazy_little_thing_called_love.wav.txt,163.830, 0.569, 0.584
09_who_wants_to_live_forever.wav.txt,297.270, 0.745, 0.772
10__baby_its_you.wav.txt,152.210, 0.836, 0.836
10__baby_youre_a_rich_man.wav.txt,183.660, 0.665, 0.665
10__for_no_one.wav.txt,121.190, 0.725, 0.725
10__honey_dont.wav.txt,176.120, 0.859, 0.859
10__im_looking_through_you.wav.txt,147.570, 0.403, 0.576
10__liebesleid.wav.txt,266.230, 0.607, 0.695
10__sun_king.wav.txt,146.300, 0.708, 0.755
10__the_long_and_winding_road.wav.txt,217.860, 0.851, 0.853
10__things_we_said_today.wav.txt,158.710, 0.807, 0.807
10__you_like_me_too_much.wav.txt,158.660, 0.693, 0.703
10__you_really_got_a_hold_on_me.wav.txt,182.760, 0.855, 0.863
10_somebody_to_love.wav.txt,297.670, 0.690, 0.704
11__all_you_need_is_love.wav.txt,228.220, 0.667, 0.667
11__do_you_want_to_know_a_secret.wav.txt,115.260, 0.539, 0.597
11__doctor_robert.wav.txt,134.740, 0.888, 0.888
11__every_little_thing.wav.txt,119.820, 0.825, 0.825
11__for_you_blue.wav.txt,152.660, 0.662, 0.723
11__good_morning_good_morning.wav.txt,161.220, 0.525, 0.563
11__i_wanna_be_your_man.wav.txt,118.750, 0.867, 0.867
11__ich_kann_heute_nicht.wav.txt,138.170, 0.636, 0.681
11__in_my_life.wav.txt,147.860, 0.820, 0.840
11__mean_mr_mustard.wav.txt,66.212, 0.844, 0.844
11__tell_me_what_you_see.wav.txt,159.560, 0.619, 0.619
11__when_i_get_home.wav.txt,138.170, 0.677, 0.702
12__a_taste_of_honey.wav.txt,120.350, 0.872, 0.872
12__devil_in_her_heart.wav.txt,147.490, 0.843, 0.863
12__get_back.wav.txt,186.920, 0.669, 0.745
12__i_dont_want_to_spoil_the_party.wav.txt,151.630, 0.861, 0.861
12__i_want_to_tell_you.wav.txt,149.700, 0.761, 0.772
12__ive_just_seen_a_face.wav.txt,127.010, 0.739, 0.739
12__jakob_und_marie.wav.txt,186.110, 0.587, 0.788
12__polythene_pam.wav.txt,72.723, 0.640, 0.640
12__sgt._peppers_lonely_hearts_club_band_reprise.wav.txt,78.869, 0.657, 0.681
12__wait.wav.txt,136.600, 0.423, 0.562
12__you_cant_do_that.wav.txt,157.430, 0.663, 0.680
12_good_oldfashioned_lover_boy.wav.txt,175.830, 0.690, 0.782
13__a_day_in_the_life.wav.txt,333.700, 0.477, 0.556
13__got_to_get_you_into_my_life.wav.txt,150.540, 0.813, 0.818
13__if_i_needed_someone.wav.txt,143.490, 0.904, 0.904
13__ill_be_back.wav.txt,140.310, 0.756, 0.772
13__not_a_second_time.wav.txt,128.190, 0.458, 0.675
13__paparazzi.wav.txt,234.470, 0.637, 0.680
13__she_came_in_through_the_bathroom_window.wav.txt,117.710, 0.786, 0.786
13__theres_a_place.wav.txt,107.630, 0.656, 0.703
13__what_youre_doing.wav.txt,150.300, 0.822, 0.822
13__yesterday.wav.txt,127.210, 0.811, 0.811
13_play_the_game.wav.txt,213.310, 0.679, 0.731
14__dizzy_miss_lizzie.wav.txt,174.050, 0.900, 0.900
14__everybodys_trying_to_be_my_baby.wav.txt,142.630, 0.870, 0.870
14__golden_slumbers.wav.txt,91.566, 0.912, 0.927
14__money.wav.txt,167.340, 0.660, 0.679
14__run_for_your_life.wav.txt,138.550, 0.878, 0.878
14__santa_donna_lucia_mobile.wav.txt,100.650, 0.763, 0.763
14__tomorrow_never_knows.wav.txt,177.120, 0.786, 0.786
14__twist_and_shout.wav.txt,152.000, 0.664, 0.667
14_hammer_to_fall.wav.txt,220.510, 0.286, 0.575
15__carry_that_weight.wav.txt,96.868, 0.903, 0.903
15__es_wird_alles_wieder_gut_herr_professor.wav.txt,151.910, 0.375, 0.669
15_friends_will_be_friends.wav.txt,248.890, 0.775, 0.814
15_seven_seas_of_rhye.wav.txt,170.470, 0.583, 0.637
16__the_end.wav.txt,139.780, 0.339, 0.398
16__zu_leise_fuXXr_mich.wav.txt,241.040, 0.289, 0.434
16_we_will_rock_you.wav.txt,122.770, 0.182, 0.189
17__duell.wav.txt,237.190, 0.432, 0.537
17__her_majesty.wav.txt,23.125, 0.546, 0.563
17_we_are_the_champions.wav.txt,181.400, 0.551, 0.634
18__zuhause.wav.txt,210.750, 0.590, 0.697
cd1__01__back_in_the_ussr.wav.txt,163.260, 0.699, 0.700
cd1__02__dear_prudence.wav.txt,236.360, 0.570, 0.571
cd1__03__glass_onion.wav.txt,138.020, 0.701, 0.716
cd1__04__obladi_oblada.wav.txt,188.900, 0.772, 0.783
cd1__07__while_my_guitar_gently_weeps.wav.txt,285.390, 0.824, 0.827
cd1__08__happiness_is_a_warm_gun.wav.txt,163.420, 0.819, 0.827
cd1__09__martha_my_dear.wav.txt,148.720, 0.793, 0.793
cd1__10__im_so_tired.wav.txt,123.270, 0.841, 0.857
cd1__11__black_bird.wav.txt,138.280, 0.628, 0.633
cd1__12__piggies.wav.txt,124.240, 0.858, 0.858
cd1__13__rocky_raccoon.wav.txt,212.780, 0.883, 0.895
cd1__15__why_dont_we_do_it_in_the_road.wav.txt,101.390, 0.785, 0.785
cd1__16__i_will.wav.txt,106.030, 0.718, 0.728
cd1__17__julia.wav.txt,173.480, 0.950, 0.954
cd2__01__birthday.wav.txt,162.890, 0.840, 0.849
cd2__02__yer_blues.wav.txt,241.090, 0.488, 0.593
cd2__03__mother_natures_son.wav.txt,167.980, 0.742, 0.750
cd2__04__everybodys_got_something_to_hide_except_me_and_m.wav.txt,144.840, 0.496, 0.496
cd2__05__sexy_sadie.wav.txt,195.390, 0.884, 0.884
cd2__06__helter_skelter.wav.txt,269.740, 0.808, 0.827
cd2__07__long_long_long.wav.txt,184.350, 0.740, 0.749
cd2__08__revolution_1.wav.txt,255.640, 0.896, 0.901
cd2__09__honey_pie.wav.txt,161.300, 0.873, 0.885
cd2__10__savoy_truffle.wav.txt,174.890, 0.691, 0.743
cd2__11__cry_baby_cry.wav.txt,181.860, 0.708, 0.735
cd2__13__good_night.wav.txt,191.650, 0.590, 0.591

Ave.,, 0.712, 0.743 

Weighted Ave.,, 0.708, 0.741 
