filename,length,Overlap_Score,Overlap_Score (Merged)
01__a_hard_days_night.wav.txt,152.300, 0.681, 0.688
01__come_together.wav.txt,260.680, 0.850, 0.893
01__drive_my_car.wav.txt,149.790, 0.214, 0.412
01__help.wav.txt,140.910, 0.647, 0.682
01__i_saw_her_standing_there.wav.txt,171.690, 0.815, 0.833
01__it_wont_be_long.wav.txt,133.760, 0.774, 0.788
01__magical_mystery_tour.wav.txt,171.930, 0.634, 0.636
01__no_reply.wav.txt,133.360, 0.750, 0.750
01__sgt._peppers_lonely_hearts_club_band.wav.txt,122.390, 0.725, 0.725
01__spiel_mir_eine_alte_melodie.wav.txt,164.920, 0.717, 0.725
01__taxman.wav.txt,158.750, 0.839, 0.864
01__two_of_us.wav.txt,216.600, 0.782, 0.782
01_a_kind_of_magic.wav.txt,262.510, 0.778, 0.819
01_bohemian_rhapsody.wav.txt,358.290, 0.606, 0.622
02__all_ive_got_to_do.wav.txt,124.460, 0.594, 0.723
02__dig_a_pony.wav.txt,234.810, 0.758, 0.816
02__eleanor_rigby.wav.txt,127.580, 0.846, 0.864
02__i_should_have_known_better.wav.txt,160.210, 0.665, 0.693
02__im_a_loser.wav.txt,149.790, 0.514, 0.576
02__misery.wav.txt,106.160, 0.788, 0.810
02__norwegian_wood_this_bird_has_flown.wav.txt,125.280, 0.868, 0.870
02__rawhide.wav.txt,215.800, 0.659, 0.715
02__something.wav.txt,182.900, 0.775, 0.786
02__the_fool_on_the_hill.wav.txt,180.180, 0.451, 0.452
02__the_night_before.wav.txt,156.430, 0.598, 0.709
02__with_a_little_help_from_my_friends.wav.txt,163.900, 0.821, 0.834
03__across_the_universe.wav.txt,228.590, 0.902, 0.905
03__all_my_loving.wav.txt,129.320, 0.850, 0.861
03__anna_go_to_him.wav.txt,174.530, 0.631, 0.685
03__babys_in_black.wav.txt,122.900, 0.838, 0.838
03__flying.wav.txt,136.510, 0.450, 0.491
03__if_i_fell.wav.txt,141.850, 0.847, 0.849
03__im_only_sleeping.wav.txt,181.290, 0.691, 0.763
03__lucy_in_the_sky_with_diamonds.wav.txt,208.350, 0.552, 0.555
03__maxwells_silver_hammer.wav.txt,207.160, 0.862, 0.874
03__she.wav.txt,158.480, 0.643, 0.664
03__you_wont_see_me.wav.txt,202.180, 0.853, 0.856
03__youve_got_to_hide_your_love_away.wav.txt,131.280, 0.619, 0.619
04__blue_jay_way.wav.txt,236.680, 0.726, 0.729
04__chains.wav.txt,141.770, 0.685, 0.693
04__dont_bother_me.wav.txt,149.080, 0.563, 0.726
04__erbauliche_gedanken_eines_tobackrauchers.wav.txt,342.550, 0.470, 0.552
