filename,length,Overlap_Score,Overlap_Score (Merged)
09__girl.wav.txt,153.310, 0.899, 0.923
09__hold_me_tight.wav.txt,152.460, 0.829, 0.859
09__ill_cry_instead.wav.txt,107.670, 0.875, 0.901
09__its_only_love.wav.txt,118.640, 0.798, 0.821
09__mr_morgan.wav.txt,183.130, 0.746, 0.763
09__one_after_909.wav.txt,175.520, 0.840, 0.846
09__p._s._i_love_you.wav.txt,121.760, 0.845, 0.876
09__penny_lane.wav.txt,183.350, 0.793, 0.814
09__when_im_sixtyfour.wav.txt,157.620, 0.797, 0.828
09__words_of_love.wav.txt,133.020, 0.740, 0.774
09__you_never_give_me_your_money.wav.txt,242.320, 0.753, 0.798
09_crazy_little_thing_called_love.wav.txt,163.830, 0.469, 0.491
09_who_wants_to_live_forever.wav.txt,297.270, 0.701, 0.763
10__baby_its_you.wav.txt,152.210, 0.695, 0.907
10__baby_youre_a_rich_man.wav.txt,183.660, 0.707, 0.709
10__for_no_one.wav.txt,121.190, 0.711, 0.733
10__honey_dont.wav.txt,176.120, 0.896, 0.904
10__im_looking_through_you.wav.txt,147.570, 0.357, 0.638
10__liebesleid.wav.txt,266.230, 0.592, 0.706
10__sun_king.wav.txt,146.300, 0.647, 0.740
10__the_long_and_winding_road.wav.txt,217.860, 0.781, 0.819
10__things_we_said_today.wav.txt,158.710, 0.731, 0.820
10__you_like_me_too_much.wav.txt,158.660, 0.824, 0.866
10__you_really_got_a_hold_on_me.wav.txt,182.760, 0.852, 0.874
10_somebody_to_love.wav.txt,297.670, 0.685, 0.727
11__all_you_need_is_love.wav.txt,228.220, 0.685, 0.734
11__do_you_want_to_know_a_secret.wav.txt,115.260, 0.649, 0.770
11__doctor_robert.wav.txt,134.740, 0.945, 0.945
11__every_little_thing.wav.txt,119.820, 0.793, 0.826
11__for_you_blue.wav.txt,152.660, 0.865, 0.867
11__good_morning_good_morning.wav.txt,161.220, 0.604, 0.632
11__i_wanna_be_your_man.wav.txt,118.750, 0.857, 0.865
11__ich_kann_heute_nicht.wav.txt,138.170, 0.743, 0.785
11__in_my_life.wav.txt,147.860, 0.858, 0.935
11__mean_mr_mustard.wav.txt,66.212, 0.855, 0.865
11__tell_me_what_you_see.wav.txt,159.560, 0.778, 0.778
11__when_i_get_home.wav.txt,138.170, 0.698, 0.779
12__a_taste_of_honey.wav.txt,120.350, 0.784, 0.897
12__devil_in_her_heart.wav.txt,147.490, 0.820, 0.865
12__get_back.wav.txt,186.920, 0.700, 0.734
12__i_dont_want_to_spoil_the_party.wav.txt,151.630, 0.860, 0.906
12__i_want_to_tell_you.wav.txt,149.700, 0.789, 0.819
12__ive_just_seen_a_face.wav.txt,127.010, 0.821, 0.874
12__jakob_und_marie.wav.txt,186.110, 0.706, 0.874
12__polythene_pam.wav.txt,72.723, 0.650, 0.663
12__sgt._peppers_lonely_hearts_club_band_reprise.wav.txt,78.869, 0.703, 0.713
12__wait.wav.txt,136.600, 0.536, 0.662
12__you_cant_do_that.wav.txt,157.430, 0.880, 0.903
12_good_oldfashioned_lover_boy.wav.txt,175.830, 0.628, 0.745
13__a_day_in_the_life.wav.txt,333.700, 0.546, 0.659
13__got_to_get_you_into_my_life.wav.txt,150.540, 0.597, 0.670
13__if_i_needed_someone.wav.txt,143.490, 0.726, 0.823
13__ill_be_back.wav.txt,140.310, 0.884, 0.904
13__not_a_second_time.wav.txt,128.190, 0.440, 0.781
13__paparazzi.wav.txt,234.470, 0.670, 0.760
13__she_came_in_through_the_bathroom_window.wav.txt,117.710, 0.664, 0.723
13__theres_a_place.wav.txt,107.630, 0.721, 0.806
13__what_youre_doing.wav.txt,150.300, 0.803, 0.867
13__yesterday.wav.txt,127.210, 0.706, 0.754
13_play_the_game.wav.txt,213.310, 0.719, 0.779
14__dizzy_miss_lizzie.wav.txt,174.050, 0.916, 0.916
14__everybodys_trying_to_be_my_baby.wav.txt,142.630, 0.909, 0.911
14__golden_slumbers.wav.txt,91.566, 0.882, 0.920
14__money.wav.txt,167.340, 0.652, 0.759
14__run_for_your_life.wav.txt,138.550, 0.604, 0.884
14__santa_donna_lucia_mobile.wav.txt,100.650, 0.778, 0.812
14__tomorrow_never_knows.wav.txt,177.120, 0.706, 0.723
14__twist_and_shout.wav.txt,152.000, 0.779, 0.780
14_hammer_to_fall.wav.txt,220.510, 0.578, 0.585
15__carry_that_weight.wav.txt,96.868, 0.798, 0.873
15__es_wird_alles_wieder_gut_herr_professor.wav.txt,151.910, 0.508, 0.780
15_friends_will_be_friends.wav.txt,248.890, 0.751, 0.791
15_seven_seas_of_rhye.wav.txt,170.470, 0.640, 0.733
16__the_end.wav.txt,139.780, 0.536, 0.540
16__zu_leise_fuXXr_mich.wav.txt,241.040, 0.447, 0.548
16_we_will_rock_you.wav.txt,122.770, 0.213, 0.213
17__duell.wav.txt,237.190, 0.555, 0.680
17__her_majesty.wav.txt,23.125, 0.532, 0.546
17_we_are_the_champions.wav.txt,181.400, 0.606, 0.706
18__zuhause.wav.txt,210.750, 0.569, 0.661
cd1__01__back_in_the_ussr.wav.txt,163.260, 0.802, 0.805
cd1__02__dear_prudence.wav.txt,236.360, 0.550, 0.573
cd1__03__glass_onion.wav.txt,138.020, 0.537, 0.671
cd1__04__obladi_oblada.wav.txt,188.900, 0.846, 0.889
cd1__07__while_my_guitar_gently_weeps.wav.txt,285.390, 0.610, 0.777
cd1__08__happiness_is_a_warm_gun.wav.txt,163.420, 0.758, 0.801
cd1__09__martha_my_dear.wav.txt,148.720, 0.739, 0.828
cd1__10__im_so_tired.wav.txt,123.270, 0.803, 0.867
cd1__11__black_bird.wav.txt,138.280, 0.627, 0.633
cd1__12__piggies.wav.txt,124.240, 0.828, 0.847
cd1__13__rocky_raccoon.wav.txt,212.780, 0.643, 0.870
cd1__15__why_dont_we_do_it_in_the_road.wav.txt,101.390, 0.860, 0.860
cd1__16__i_will.wav.txt,106.030, 0.729, 0.796
cd1__17__julia.wav.txt,173.480, 0.682, 0.873
cd2__01__birthday.wav.txt,162.890, 0.515, 0.521
cd2__02__yer_blues.wav.txt,241.090, 0.604, 0.621
cd2__03__mother_natures_son.wav.txt,167.980, 0.719, 0.720
cd2__04__everybodys_got_something_to_hide_except_me_and_m.wav.txt,144.840, 0.624, 0.631
cd2__05__sexy_sadie.wav.txt,195.390, 0.712, 0.796
cd2__06__helter_skelter.wav.txt,269.740, 0.719, 0.719
cd2__07__long_long_long.wav.txt,184.350, 0.774, 0.805
cd2__08__revolution_1.wav.txt,255.640, 0.740, 0.773
cd2__09__honey_pie.wav.txt,161.300, 0.865, 0.886
cd2__10__savoy_truffle.wav.txt,174.890, 0.608, 0.678
cd2__11__cry_baby_cry.wav.txt,181.860, 0.721, 0.804
cd2__13__good_night.wav.txt,191.650, 0.572, 0.619

Ave.,, 0.722, 0.785 

Weighted Ave.,, 0.711, 0.777 
