filename,length,Overlap_Score,Overlap_Score (Merged)
04__getting_better.wav.txt,167.770, 0.396, 0.492
04__i_me_mine.wav.txt,145.660, 0.432, 0.597
04__i_need_you.wav.txt,151.270, 0.611, 0.830
04__im_happy_just_to_dance_with_you.wav.txt,118.630, 0.422, 0.600
04__nowhere_man.wav.txt,163.980, 0.469, 0.638
04__oh_darling.wav.txt,206.550, 0.607, 0.761
04__rock_and_roll_music.wav.txt,149.140, 0.762, 0.858
04_fat_bottomed_girls.wav.txt,204.560, 0.626, 0.748
05__and_i_love_her.wav.txt,150.840, 0.619, 0.842
05__andersrum.wav.txt,122.280, 0.504, 0.616
05__another_girl.wav.txt,127.560, 0.471, 0.637
05__boys.wav.txt,143.490, 0.600, 0.741
05__dig_it.wav.txt,49.994, 0.627, 0.661
05__fixing_a_hole.wav.txt,156.470, 0.394, 0.708
05__here_there_and_everywhere.wav.txt,145.710, 0.505, 0.628
05__ill_follow_the_sun.wav.txt,106.540, 0.608, 0.724
05__little_child.wav.txt,107.650, 0.767, 0.831
05__octopuss_garden.wav.txt,171.100, 0.557, 0.772
05__think_for_yourself.wav.txt,139.150, 0.571, 0.779
05__your_mother_should_know.wav.txt,149.620, 0.649, 0.740
05_bicycle_race.wav.txt,183.800, 0.427, 0.557
05_i_want_to_break_free.wav.txt,258.730, 0.659, 0.866
06__ask_me_why.wav.txt,143.980, 0.486, 0.608
06__i_am_the_walrus.wav.txt,272.780, 0.574, 0.721
06__i_want_you.wav.txt,467.150, 0.408, 0.615
06__let_it_be.wav.txt,243.280, 0.648, 0.740
06__mr._moonlight.wav.txt,153.080, 0.753, 0.827
06__shes_leaving_home.wav.txt,214.950, 0.479, 0.624
06__tell_me_why.wav.txt,130.030, 0.386, 0.478
06__the_word.wav.txt,163.620, 0.530, 0.814
06__tigerfest.wav.txt,203.090, 0.507, 0.661
06__till_there_was_you.wav.txt,136.560, 0.430, 0.600
06__yellow_submarine.wav.txt,159.860, 0.487, 0.694
06__youre_going_to_lose_that_girl.wav.txt,140.060, 0.544, 0.739
06_youre_my_best_friend.wav.txt,172.170, 0.554, 0.678
07__akne.wav.txt,203.410, 0.529, 0.693
07__being_for_the_benefit_of_mr._kite.wav.txt,156.970, 0.490, 0.648
07__cant_buy_me_love.wav.txt,132.900, 0.675, 0.796
07__hello_goodbye.wav.txt,211.450, 0.649, 0.705
07__here_comes_the_sun.wav.txt,185.530, 0.624, 0.745
07__kansas_city_hey_hey_hey_hey.wav.txt,144.680, 0.641, 0.697
