filename,length,Overlap_Score,Overlap_Score (Merged)
09__girl.wav.txt,153.310, 0.700, 0.703
09__hold_me_tight.wav.txt,152.460, 0.752, 0.781
09__ill_cry_instead.wav.txt,107.670, 0.821, 0.836
09__its_only_love.wav.txt,118.640, 0.763, 0.763
09__mr_morgan.wav.txt,183.130, 0.793, 0.799
09__one_after_909.wav.txt,175.520, 0.588, 0.821
09__p._s._i_love_you.wav.txt,121.760, 0.800, 0.800
09__penny_lane.wav.txt,183.350, 0.771, 0.775
09__when_im_sixtyfour.wav.txt,157.620, 0.830, 0.843
09__words_of_love.wav.txt,133.020, 0.837, 0.837
09__you_never_give_me_your_money.wav.txt,242.320, 0.777, 0.786
09_crazy_little_thing_called_love.wav.txt,163.830, 0.318, 0.322
09_who_wants_to_live_forever.wav.txt,297.270, 0.703, 0.720
10__baby_its_you.wav.txt,152.210, 0.824, 0.852
10__baby_youre_a_rich_man.wav.txt,183.660, 0.683, 0.697
10__for_no_one.wav.txt,121.190, 0.727, 0.727
10__honey_dont.wav.txt,176.120, 0.771, 0.789
10__im_looking_through_you.wav.txt,147.570, 0.661, 0.661
10__liebesleid.wav.txt,266.230, 0.565, 0.628
10__sun_king.wav.txt,146.300, 0.657, 0.763
10__the_long_and_winding_road.wav.txt,217.860, 0.779, 0.779
10__things_we_said_today.wav.txt,158.710, 0.639, 0.655
10__you_like_me_too_much.wav.txt,158.660, 0.741, 0.755
10__you_really_got_a_hold_on_me.wav.txt,182.760, 0.702, 0.722
10_somebody_to_love.wav.txt,297.670, 0.695, 0.704
11__all_you_need_is_love.wav.txt,228.220, 0.656, 0.661
11__do_you_want_to_know_a_secret.wav.txt,115.260, 0.860, 0.863
11__doctor_robert.wav.txt,134.740, 0.902, 0.913
11__every_little_thing.wav.txt,119.820, 0.791, 0.807
11__for_you_blue.wav.txt,152.660, 0.747, 0.754
11__good_morning_good_morning.wav.txt,161.220, 0.609, 0.641
11__i_wanna_be_your_man.wav.txt,118.750, 0.831, 0.839
11__ich_kann_heute_nicht.wav.txt,138.170, 0.738, 0.769
11__in_my_life.wav.txt,147.860, 0.794, 0.824
11__mean_mr_mustard.wav.txt,66.212, 0.778, 0.778
11__tell_me_what_you_see.wav.txt,159.560, 0.633, 0.633
11__when_i_get_home.wav.txt,138.170, 0.812, 0.854
12__a_taste_of_honey.wav.txt,120.350, 0.725, 0.788
12__devil_in_her_heart.wav.txt,147.490, 0.795, 0.809
12__get_back.wav.txt,186.920, 0.696, 0.774
12__i_dont_want_to_spoil_the_party.wav.txt,151.630, 0.839, 0.866
12__i_want_to_tell_you.wav.txt,149.700, 0.760, 0.794
12__ive_just_seen_a_face.wav.txt,127.010, 0.707, 0.732
12__jakob_und_marie.wav.txt,186.110, 0.659, 0.828
12__polythene_pam.wav.txt,72.723, 0.664, 0.664
12__sgt._peppers_lonely_hearts_club_band_reprise.wav.txt,78.869, 0.701, 0.708
12__wait.wav.txt,136.600, 0.559, 0.568
12__you_cant_do_that.wav.txt,157.430, 0.645, 0.727
12_good_oldfashioned_lover_boy.wav.txt,175.830, 0.752, 0.801
13__a_day_in_the_life.wav.txt,333.700, 0.598, 0.635
13__got_to_get_you_into_my_life.wav.txt,150.540, 0.731, 0.751
13__if_i_needed_someone.wav.txt,143.490, 0.697, 0.710
13__ill_be_back.wav.txt,140.310, 0.728, 0.736
13__not_a_second_time.wav.txt,128.190, 0.651, 0.699
13__paparazzi.wav.txt,234.470, 0.676, 0.737
13__she_came_in_through_the_bathroom_window.wav.txt,117.710, 0.638, 0.657
13__theres_a_place.wav.txt,107.630, 0.832, 0.844
13__what_youre_doing.wav.txt,150.300, 0.793, 0.809
13__yesterday.wav.txt,127.210, 0.670, 0.674
13_play_the_game.wav.txt,213.310, 0.752, 0.781
14__dizzy_miss_lizzie.wav.txt,174.050, 0.851, 0.851
14__everybodys_trying_to_be_my_baby.wav.txt,142.630, 0.798, 0.835
14__golden_slumbers.wav.txt,91.566, 0.822, 0.853
14__money.wav.txt,167.340, 0.666, 0.769
14__run_for_your_life.wav.txt,138.550, 0.777, 0.779
14__santa_donna_lucia_mobile.wav.txt,100.650, 0.726, 0.733
14__tomorrow_never_knows.wav.txt,177.120, 0.181, 0.181
14__twist_and_shout.wav.txt,152.000, 0.741, 0.774
14_hammer_to_fall.wav.txt,220.510, 0.536, 0.536
15__carry_that_weight.wav.txt,96.868, 0.846, 0.846
15__es_wird_alles_wieder_gut_herr_professor.wav.txt,151.910, 0.587, 0.671
15_friends_will_be_friends.wav.txt,248.890, 0.769, 0.776
15_seven_seas_of_rhye.wav.txt,170.470, 0.642, 0.700
16__the_end.wav.txt,139.780, 0.481, 0.522
