filename,length,Overlap_Score,Overlap_Score (Merged)
01__a_hard_days_night.wav.txt,152.300, 0.737, 0.785
01__come_together.wav.txt,260.680, 0.649, 0.832
01__drive_my_car.wav.txt,149.790, 0.688, 0.760
01__help.wav.txt,140.910, 0.719, 0.756
01__i_saw_her_standing_there.wav.txt,171.690, 0.838, 0.887
01__it_wont_be_long.wav.txt,133.760, 0.699, 0.825
01__magical_mystery_tour.wav.txt,171.930, 0.798, 0.851
01__no_reply.wav.txt,133.360, 0.940, 0.949
01__sgt._peppers_lonely_hearts_club_band.wav.txt,122.390, 0.759, 0.778
01__spiel_mir_eine_alte_melodie.wav.txt,164.920, 0.695, 0.797
01__taxman.wav.txt,158.750, 0.624, 0.730
01__two_of_us.wav.txt,216.600, 0.771, 0.774
01_a_kind_of_magic.wav.txt,262.510, 0.903, 0.909
01_bohemian_rhapsody.wav.txt,358.290, 0.709, 0.759
02__all_ive_got_to_do.wav.txt,124.460, 0.775, 0.842
02__dig_a_pony.wav.txt,234.810, 0.685, 0.805
02__eleanor_rigby.wav.txt,127.580, 0.877, 0.902
02__i_should_have_known_better.wav.txt,160.210, 0.871, 0.890
02__im_a_loser.wav.txt,149.790, 0.735, 0.778
02__misery.wav.txt,106.160, 0.873, 0.890
02__norwegian_wood_this_bird_has_flown.wav.txt,125.280, 0.901, 0.903
02__rawhide.wav.txt,215.800, 0.655, 0.752
02__something.wav.txt,182.900, 0.773, 0.790
02__the_fool_on_the_hill.wav.txt,180.180, 0.764, 0.768
02__the_night_before.wav.txt,156.430, 0.882, 0.927
02__with_a_little_help_from_my_friends.wav.txt,163.900, 0.813, 0.877
03__across_the_universe.wav.txt,228.590, 0.812, 0.821
03__all_my_loving.wav.txt,129.320, 0.789, 0.793
03__anna_go_to_him.wav.txt,174.530, 0.720, 0.805
03__babys_in_black.wav.txt,122.900, 0.835, 0.844
03__flying.wav.txt,136.510, 0.684, 0.746
03__if_i_fell.wav.txt,141.850, 0.831, 0.846
03__im_only_sleeping.wav.txt,181.290, 0.678, 0.760
03__lucy_in_the_sky_with_diamonds.wav.txt,208.350, 0.733, 0.768
03__maxwells_silver_hammer.wav.txt,207.160, 0.762, 0.776
03__she.wav.txt,158.480, 0.629, 0.656
03__you_wont_see_me.wav.txt,202.180, 0.790, 0.807
03__youve_got_to_hide_your_love_away.wav.txt,131.280, 0.841, 0.845
04__blue_jay_way.wav.txt,236.680, 0.805, 0.816
04__chains.wav.txt,141.770, 0.732, 0.751
04__dont_bother_me.wav.txt,149.080, 0.677, 0.825
04__erbauliche_gedanken_eines_tobackrauchers.wav.txt,342.550, 0.475, 0.540
04__getting_better.wav.txt,167.770, 0.563, 0.571
04__i_me_mine.wav.txt,145.660, 0.619, 0.777
04__i_need_you.wav.txt,151.270, 0.756, 0.900
04__im_happy_just_to_dance_with_you.wav.txt,118.630, 0.699, 0.741
04__nowhere_man.wav.txt,163.980, 0.648, 0.703
04__oh_darling.wav.txt,206.550, 0.769, 0.841
04__rock_and_roll_music.wav.txt,149.140, 0.902, 0.937
04_fat_bottomed_girls.wav.txt,204.560, 0.662, 0.839
05__and_i_love_her.wav.txt,150.840, 0.883, 0.921
05__andersrum.wav.txt,122.280, 0.791, 0.793
05__another_girl.wav.txt,127.560, 0.596, 0.803
05__boys.wav.txt,143.490, 0.681, 0.755
05__dig_it.wav.txt,49.994, 0.824, 0.826
05__fixing_a_hole.wav.txt,156.470, 0.588, 0.682
05__here_there_and_everywhere.wav.txt,145.710, 0.729, 0.761
05__ill_follow_the_sun.wav.txt,106.540, 0.863, 0.864
05__little_child.wav.txt,107.650, 0.707, 0.877
05__octopuss_garden.wav.txt,171.100, 0.706, 0.839
05__think_for_yourself.wav.txt,139.150, 0.773, 0.896
05__your_mother_should_know.wav.txt,149.620, 0.850, 0.858
05_bicycle_race.wav.txt,183.800, 0.582, 0.672
05_i_want_to_break_free.wav.txt,258.730, 0.843, 0.929
06__ask_me_why.wav.txt,143.980, 0.688, 0.718
06__i_am_the_walrus.wav.txt,272.780, 0.724, 0.786
06__i_want_you.wav.txt,467.150, 0.590, 0.686
06__let_it_be.wav.txt,243.280, 0.834, 0.839
06__mr._moonlight.wav.txt,153.080, 0.840, 0.862
06__shes_leaving_home.wav.txt,214.950, 0.652, 0.652
06__tell_me_why.wav.txt,130.030, 0.619, 0.722
06__the_word.wav.txt,163.620, 0.766, 0.808
06__tigerfest.wav.txt,203.090, 0.681, 0.727
06__till_there_was_you.wav.txt,136.560, 0.741, 0.785
06__yellow_submarine.wav.txt,159.860, 0.716, 0.758
06__youre_going_to_lose_that_girl.wav.txt,140.060, 0.810, 0.860
06_youre_my_best_friend.wav.txt,172.170, 0.697, 0.748
07__akne.wav.txt,203.410, 0.698, 0.800
07__being_for_the_benefit_of_mr._kite.wav.txt,156.970, 0.634, 0.675
07__cant_buy_me_love.wav.txt,132.900, 0.832, 0.867
07__hello_goodbye.wav.txt,211.450, 0.786, 0.788
07__here_comes_the_sun.wav.txt,185.530, 0.848, 0.858
07__kansas_city_hey_hey_hey_hey.wav.txt,144.680, 0.695, 0.699
07__maggie_mae.wav.txt,40.601, 0.832, 0.892
07__michelle.wav.txt,162.240, 0.615, 0.707
07__please_mister_postman.wav.txt,156.280, 0.827, 0.871
07__please_please_me.wav.txt,119.400, 0.765, 0.810
07__she_said_she_said.wav.txt,156.900, 0.720, 0.804
07__ticket_to_ride.wav.txt,192.320, 0.803, 0.884
07_dont_stop_me_now.wav.txt,211.730, 0.717, 0.764
08__act_naturally.wav.txt,153.050, 0.907, 0.925
08__any_time_at_all.wav.txt,133.210, 0.780, 0.881
08__because.wav.txt,165.520, 0.694, 0.746
08__blass.wav.txt,171.800, 0.779, 0.841
08__eight_days_a_week.wav.txt,161.210, 0.854, 0.865
08__good_day_sunshine.wav.txt,129.300, 0.886, 0.913
08__ive_got_a_feeling.wav.txt,217.930, 0.555, 0.602
08__love_me_do.wav.txt,138.660, 0.556, 0.591
08__roll_over_beethoven.wav.txt,167.120, 0.482, 0.745
08__strawberry_fields_forever.wav.txt,250.560, 0.519, 0.596
08__what_goes_on.wav.txt,170.390, 0.823, 0.892
08__within_you_without_you.wav.txt,304.980, 0.411, 0.492
08_save_me.wav.txt,228.600, 0.782, 0.848
09__and_your_bird_can_sing.wav.txt,121.570, 0.802, 0.860
09__girl.wav.txt,153.310, 0.863, 0.882
09__hold_me_tight.wav.txt,152.460, 0.725, 0.795
09__ill_cry_instead.wav.txt,107.670, 0.815, 0.846
09__its_only_love.wav.txt,118.640, 0.862, 0.878
09__mr_morgan.wav.txt,183.130, 0.711, 0.777
09__one_after_909.wav.txt,175.520, 0.729, 0.845
09__p._s._i_love_you.wav.txt,121.760, 0.825, 0.833
09__penny_lane.wav.txt,183.350, 0.754, 0.807
09__when_im_sixtyfour.wav.txt,157.620, 0.765, 0.795
09__words_of_love.wav.txt,133.020, 0.785, 0.818
09__you_never_give_me_your_money.wav.txt,242.320, 0.740, 0.782
09_crazy_little_thing_called_love.wav.txt,163.830, 0.510, 0.625
09_who_wants_to_live_forever.wav.txt,297.270, 0.723, 0.770
10__baby_its_you.wav.txt,152.210, 0.747, 0.895
10__baby_youre_a_rich_man.wav.txt,183.660, 0.601, 0.700
10__for_no_one.wav.txt,121.190, 0.766, 0.788
10__honey_dont.wav.txt,176.120, 0.825, 0.840
10__im_looking_through_you.wav.txt,147.570, 0.461, 0.712
10__liebesleid.wav.txt,266.230, 0.619, 0.746
10__sun_king.wav.txt,146.300, 0.499, 0.652
10__the_long_and_winding_road.wav.txt,217.860, 0.714, 0.728
10__things_we_said_today.wav.txt,158.710, 0.752, 0.816
10__you_like_me_too_much.wav.txt,158.660, 0.853, 0.874
10__you_really_got_a_hold_on_me.wav.txt,182.760, 0.843, 0.867
10_somebody_to_love.wav.txt,297.670, 0.642, 0.695
11__all_you_need_is_love.wav.txt,228.220, 0.642, 0.668
11__do_you_want_to_know_a_secret.wav.txt,115.260, 0.619, 0.632
11__doctor_robert.wav.txt,134.740, 0.910, 0.933
11__every_little_thing.wav.txt,119.820, 0.831, 0.839
11__for_you_blue.wav.txt,152.660, 0.759, 0.779
11__good_morning_good_morning.wav.txt,161.220, 0.456, 0.523
11__i_wanna_be_your_man.wav.txt,118.750, 0.728, 0.872
11__ich_kann_heute_nicht.wav.txt,138.170, 0.758, 0.767
11__in_my_life.wav.txt,147.860, 0.859, 0.910
11__mean_mr_mustard.wav.txt,66.212, 0.824, 0.844
11__tell_me_what_you_see.wav.txt,159.560, 0.745, 0.748
11__when_i_get_home.wav.txt,138.170, 0.625, 0.732
12__a_taste_of_honey.wav.txt,120.350, 0.806, 0.886
12__devil_in_her_heart.wav.txt,147.490, 0.851, 0.876
12__get_back.wav.txt,186.920, 0.585, 0.709
12__i_dont_want_to_spoil_the_party.wav.txt,151.630, 0.893, 0.911
12__i_want_to_tell_you.wav.txt,149.700, 0.786, 0.857
12__ive_just_seen_a_face.wav.txt,127.010, 0.824, 0.876
12__jakob_und_marie.wav.txt,186.110, 0.763, 0.906
12__polythene_pam.wav.txt,72.723, 0.512, 0.731
12__sgt._peppers_lonely_hearts_club_band_reprise.wav.txt,78.869, 0.602, 0.681
12__wait.wav.txt,136.600, 0.535, 0.651
12__you_cant_do_that.wav.txt,157.430, 0.841, 0.880
12_good_oldfashioned_lover_boy.wav.txt,175.830, 0.622, 0.738
13__a_day_in_the_life.wav.txt,333.700, 0.556, 0.623
13__got_to_get_you_into_my_life.wav.txt,150.540, 0.597, 0.691
13__if_i_needed_someone.wav.txt,143.490, 0.751, 0.819
13__ill_be_back.wav.txt,140.310, 0.886, 0.897
13__not_a_second_time.wav.txt,128.190, 0.586, 0.790
13__paparazzi.wav.txt,234.470, 0.682, 0.779
13__she_came_in_through_the_bathroom_window.wav.txt,117.710, 0.686, 0.730
13__theres_a_place.wav.txt,107.630, 0.837, 0.863
13__what_youre_doing.wav.txt,150.300, 0.810, 0.831
13__yesterday.wav.txt,127.210, 0.692, 0.733
13_play_the_game.wav.txt,213.310, 0.699, 0.761
14__dizzy_miss_lizzie.wav.txt,174.050, 0.877, 0.886
14__everybodys_trying_to_be_my_baby.wav.txt,142.630, 0.868, 0.897
14__golden_slumbers.wav.txt,91.566, 0.888, 0.912
14__money.wav.txt,167.340, 0.310, 0.732
14__run_for_your_life.wav.txt,138.550, 0.733, 0.923
14__santa_donna_lucia_mobile.wav.txt,100.650, 0.748, 0.806
14__tomorrow_never_knows.wav.txt,177.120, 0.409, 0.620
14__twist_and_shout.wav.txt,152.000, 0.802, 0.848
14_hammer_to_fall.wav.txt,220.510, 0.581, 0.602
15__carry_that_weight.wav.txt,96.868, 0.856, 0.862
15__es_wird_alles_wieder_gut_herr_professor.wav.txt,151.910, 0.579, 0.760
15_friends_will_be_friends.wav.txt,248.890, 0.756, 0.790
15_seven_seas_of_rhye.wav.txt,170.470, 0.602, 0.759
16__the_end.wav.txt,139.780, 0.497, 0.574
16__zu_leise_fuXXr_mich.wav.txt,241.040, 0.470, 0.547
16_we_will_rock_you.wav.txt,122.770, 0.205, 0.205
17__duell.wav.txt,237.190, 0.600, 0.688
17__her_majesty.wav.txt,23.125, 0.621, 0.691
17_we_are_the_champions.wav.txt,181.400, 0.591, 0.721
18__zuhause.wav.txt,210.750, 0.649, 0.701
cd1__01__back_in_the_ussr.wav.txt,163.260, 0.749, 0.771
cd1__02__dear_prudence.wav.txt,236.360, 0.505, 0.545
cd1__03__glass_onion.wav.txt,138.020, 0.536, 0.562
cd1__04__obladi_oblada.wav.txt,188.900, 0.828, 0.861
cd1__07__while_my_guitar_gently_weeps.wav.txt,285.390, 0.696, 0.751
cd1__08__happiness_is_a_warm_gun.wav.txt,163.420, 0.812, 0.853
cd1__09__martha_my_dear.wav.txt,148.720, 0.712, 0.767
cd1__10__im_so_tired.wav.txt,123.270, 0.787, 0.891
cd1__11__black_bird.wav.txt,138.280, 0.536, 0.552
cd1__12__piggies.wav.txt,124.240, 0.838, 0.848
cd1__13__rocky_raccoon.wav.txt,212.780, 0.722, 0.860
