filename,length,Overlap_Score,Overlap_Score (Merged)
09__girl.wav.txt,153.310, 0.764, 0.797
09__hold_me_tight.wav.txt,152.460, 0.663, 0.663
09__ill_cry_instead.wav.txt,107.670, 0.896, 0.896
09__its_only_love.wav.txt,118.640, 0.753, 0.756
09__mr_morgan.wav.txt,183.130, 0.806, 0.815
09__one_after_909.wav.txt,175.520, 0.590, 0.725
09__p._s._i_love_you.wav.txt,121.760, 0.931, 0.934
09__penny_lane.wav.txt,183.350, 0.827, 0.828
09__when_im_sixtyfour.wav.txt,157.620, 0.811, 0.811
09__words_of_love.wav.txt,133.020, 0.916, 0.930
09__you_never_give_me_your_money.wav.txt,242.320, 0.823, 0.853
09_crazy_little_thing_called_love.wav.txt,163.830, 0.551, 0.622
09_who_wants_to_live_forever.wav.txt,297.270, 0.718, 0.753
10__baby_its_you.wav.txt,152.210, 0.803, 0.857
10__baby_youre_a_rich_man.wav.txt,183.660, 0.739, 0.739
10__for_no_one.wav.txt,121.190, 0.738, 0.747
10__honey_dont.wav.txt,176.120, 0.824, 0.824
10__im_looking_through_you.wav.txt,147.570, 0.565, 0.570
10__liebesleid.wav.txt,266.230, 0.655, 0.693
10__sun_king.wav.txt,146.300, 0.558, 0.563
10__the_long_and_winding_road.wav.txt,217.860, 0.674, 0.676
10__things_we_said_today.wav.txt,158.710, 0.695, 0.713
10__you_like_me_too_much.wav.txt,158.660, 0.706, 0.724
10__you_really_got_a_hold_on_me.wav.txt,182.760, 0.706, 0.737
10_somebody_to_love.wav.txt,297.670, 0.708, 0.717
11__all_you_need_is_love.wav.txt,228.220, 0.638, 0.638
11__do_you_want_to_know_a_secret.wav.txt,115.260, 0.629, 0.681
11__doctor_robert.wav.txt,134.740, 0.793, 0.793
11__every_little_thing.wav.txt,119.820, 0.766, 0.766
11__for_you_blue.wav.txt,152.660, 0.843, 0.849
11__good_morning_good_morning.wav.txt,161.220, 0.635, 0.643
11__i_wanna_be_your_man.wav.txt,118.750, 0.752, 0.806
11__ich_kann_heute_nicht.wav.txt,138.170, 0.707, 0.751
11__in_my_life.wav.txt,147.860, 0.830, 0.869
11__mean_mr_mustard.wav.txt,66.212, 0.735, 0.774
11__tell_me_what_you_see.wav.txt,159.560, 0.530, 0.530
11__when_i_get_home.wav.txt,138.170, 0.568, 0.650
12__a_taste_of_honey.wav.txt,120.350, 0.613, 0.865
12__devil_in_her_heart.wav.txt,147.490, 0.883, 0.885
12__get_back.wav.txt,186.920, 0.730, 0.751
12__i_dont_want_to_spoil_the_party.wav.txt,151.630, 0.851, 0.851
12__i_want_to_tell_you.wav.txt,149.700, 0.798, 0.825
12__ive_just_seen_a_face.wav.txt,127.010, 0.775, 0.775
12__jakob_und_marie.wav.txt,186.110, 0.650, 0.877
12__polythene_pam.wav.txt,72.723, 0.698, 0.735
12__sgt._peppers_lonely_hearts_club_band_reprise.wav.txt,78.869, 0.732, 0.757
12__wait.wav.txt,136.600, 0.603, 0.651
12__you_cant_do_that.wav.txt,157.430, 0.746, 0.769
12_good_oldfashioned_lover_boy.wav.txt,175.830, 0.819, 0.854
13__a_day_in_the_life.wav.txt,333.700, 0.477, 0.567
13__got_to_get_you_into_my_life.wav.txt,150.540, 0.639, 0.707
13__if_i_needed_someone.wav.txt,143.490, 0.882, 0.882
13__ill_be_back.wav.txt,140.310, 0.735, 0.746
13__not_a_second_time.wav.txt,128.190, 0.796, 0.829
13__paparazzi.wav.txt,234.470, 0.759, 0.789
13__she_came_in_through_the_bathroom_window.wav.txt,117.710, 0.639, 0.652
13__theres_a_place.wav.txt,107.630, 0.758, 0.793
13__what_youre_doing.wav.txt,150.300, 0.756, 0.781
13__yesterday.wav.txt,127.210, 0.703, 0.741
13_play_the_game.wav.txt,213.310, 0.682, 0.735
14__dizzy_miss_lizzie.wav.txt,174.050, 0.940, 0.953
14__everybodys_trying_to_be_my_baby.wav.txt,142.630, 0.921, 0.921
14__golden_slumbers.wav.txt,91.566, 0.762, 0.782
14__money.wav.txt,167.340, 0.745, 0.796
14__run_for_your_life.wav.txt,138.550, 0.865, 0.870
14__santa_donna_lucia_mobile.wav.txt,100.650, 0.666, 0.696
14__tomorrow_never_knows.wav.txt,177.120, 0.800, 0.816
14__twist_and_shout.wav.txt,152.000, 0.878, 0.883
14_hammer_to_fall.wav.txt,220.510, 0.582, 0.582
15__carry_that_weight.wav.txt,96.868, 0.823, 0.823
15__es_wird_alles_wieder_gut_herr_professor.wav.txt,151.910, 0.594, 0.663
15_friends_will_be_friends.wav.txt,248.890, 0.751, 0.756
15_seven_seas_of_rhye.wav.txt,170.470, 0.630, 0.700
16__the_end.wav.txt,139.780, 0.536, 0.620
16__zu_leise_fuXXr_mich.wav.txt,241.040, 0.401, 0.496
16_we_will_rock_you.wav.txt,122.770, 0.175, 0.175
17__duell.wav.txt,237.190, 0.463, 0.546
17__her_majesty.wav.txt,23.125, 0.608, 0.654
17_we_are_the_champions.wav.txt,181.400, 0.576, 0.700
18__zuhause.wav.txt,210.750, 0.731, 0.749
cd1__01__back_in_the_ussr.wav.txt,163.260, 0.684, 0.733
cd1__02__dear_prudence.wav.txt,236.360, 0.603, 0.603
cd1__03__glass_onion.wav.txt,138.020, 0.646, 0.646
cd1__04__obladi_oblada.wav.txt,188.900, 0.824, 0.825
cd1__07__while_my_guitar_gently_weeps.wav.txt,285.390, 0.751, 0.758
cd1__08__happiness_is_a_warm_gun.wav.txt,163.420, 0.700, 0.823
cd1__09__martha_my_dear.wav.txt,148.720, 0.677, 0.677
cd1__10__im_so_tired.wav.txt,123.270, 0.836, 0.836
cd1__11__black_bird.wav.txt,138.280, 0.655, 0.669
cd1__12__piggies.wav.txt,124.240, 0.831, 0.870
cd1__13__rocky_raccoon.wav.txt,212.780, 0.629, 0.806
cd1__15__why_dont_we_do_it_in_the_road.wav.txt,101.390, 0.855, 0.858
cd1__16__i_will.wav.txt,106.030, 0.643, 0.646
cd1__17__julia.wav.txt,173.480, 0.528, 0.535
cd2__01__birthday.wav.txt,162.890, 0.614, 0.627
cd2__02__yer_blues.wav.txt,241.090, 0.380, 0.689
cd2__03__mother_natures_son.wav.txt,167.980, 0.752, 0.757
