filename,length,Overlap_Score,Overlap_Score (Merged)
01__a_hard_days_night.wav.txt,152.300, 0.563, 0.615
01__come_together.wav.txt,260.680, 0.531, 0.767
01__drive_my_car.wav.txt,149.790, 0.583, 0.647
01__help.wav.txt,140.910, 0.766, 0.779
01__i_saw_her_standing_there.wav.txt,171.690, 0.728, 0.787
01__it_wont_be_long.wav.txt,133.760, 0.635, 0.733
01__magical_mystery_tour.wav.txt,171.930, 0.613, 0.635
01__no_reply.wav.txt,133.360, 0.808, 0.818
01__sgt._peppers_lonely_hearts_club_band.wav.txt,122.390, 0.502, 0.563
01__spiel_mir_eine_alte_melodie.wav.txt,164.920, 0.694, 0.704
01__taxman.wav.txt,158.750, 0.424, 0.473
01__two_of_us.wav.txt,216.600, 0.709, 0.715
01_a_kind_of_magic.wav.txt,262.510, 0.848, 0.862
01_bohemian_rhapsody.wav.txt,358.290, 0.641, 0.685
02__all_ive_got_to_do.wav.txt,124.460, 0.683, 0.756
02__dig_a_pony.wav.txt,234.810, 0.658, 0.730
02__eleanor_rigby.wav.txt,127.580, 0.720, 0.762
02__i_should_have_known_better.wav.txt,160.210, 0.733, 0.745
02__im_a_loser.wav.txt,149.790, 0.591, 0.664
02__misery.wav.txt,106.160, 0.772, 0.791
02__norwegian_wood_this_bird_has_flown.wav.txt,125.280, 0.862, 0.866
02__rawhide.wav.txt,215.800, 0.625, 0.707
02__something.wav.txt,182.900, 0.701, 0.708
02__the_fool_on_the_hill.wav.txt,180.180, 0.712, 0.717
02__the_night_before.wav.txt,156.430, 0.719, 0.758
02__with_a_little_help_from_my_friends.wav.txt,163.900, 0.840, 0.844
03__across_the_universe.wav.txt,228.590, 0.688, 0.693
03__all_my_loving.wav.txt,129.320, 0.775, 0.786
03__anna_go_to_him.wav.txt,174.530, 0.472, 0.636
03__babys_in_black.wav.txt,122.900, 0.798, 0.811
03__flying.wav.txt,136.510, 0.669, 0.696
03__if_i_fell.wav.txt,141.850, 0.739, 0.756
03__im_only_sleeping.wav.txt,181.290, 0.559, 0.684
03__lucy_in_the_sky_with_diamonds.wav.txt,208.350, 0.618, 0.643
03__maxwells_silver_hammer.wav.txt,207.160, 0.779, 0.789
03__she.wav.txt,158.480, 0.564, 0.581
03__you_wont_see_me.wav.txt,202.180, 0.727, 0.741
03__youve_got_to_hide_your_love_away.wav.txt,131.280, 0.509, 0.611
04__blue_jay_way.wav.txt,236.680, 0.769, 0.773
04__chains.wav.txt,141.770, 0.566, 0.652
04__dont_bother_me.wav.txt,149.080, 0.614, 0.730
04__erbauliche_gedanken_eines_tobackrauchers.wav.txt,342.550, 0.502, 0.509
04__getting_better.wav.txt,167.770, 0.472, 0.561
04__i_me_mine.wav.txt,145.660, 0.543, 0.663
